D&0&0|COPAL|NULL|A&0-0&28-R0-40-0&&&Reg(?(.+ohm.+)(.+) \d{1,2}K\s+ohm\((\d+)\)|(.+))|A&0-0&69-R0-5-0&&&Reg|NULL|NULL|A&0-0&81-R0-8-0&&&Reg|NULL|A&0-0&90-R0-5-0&&&Reg|A&0-0&49-R0-19-0&&&Reg|NULL|A&0-0&81-R0-8-0&&&Reg|NULL|NULL|NULL|NULL|NULL|NULL|A&0-0&81-R0-8-0&&&Reg|NULL|156|NULL|NULL|WHHK
D&:0&0|KOA|NULL|A&7-7&0-R0-0-0&&&Reg||A&3-3&0-R0-0-0&&&Reg|NULL|A&5-5&0-R0-0-0&&53&Reg|A&5-5&0-R0-0-0&&48&160Reg|A&5-5&0-R0-0-0&&54&176Reg|NULL|NULL||A&2-2&0-R0-0-0&&&Reg|NULL|NULL|NULL||NULL|A&5-5&0-R0-0-0&&&Reg|NULL|161|Primary Key||WHHK
D&:0&0|KOA_NOLOTNO|NULL|A&7-7&0-R0-0-0&&&Reg|NULL|A&3-3&0-R0-0-0&&&Reg|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|192|NULL|NULL|WHHK
D&:0&0|KOA_NOTKEY|NULL|A&7-7&0-R0-0-0&&&Reg|NULL|A&3-3&0-R0-0-0&&&Reg|NULL|A&5-5&0-R0-0-0&&&Reg|A&5-5&0-R0-0-0&&&160Reg|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|A&5-5&0-R0-0-0&&&Reg|NULL|193|NULL|NULL|WHHK
D&0&0|NCC|NULL|A&0-0&1-R0-6-0&136&&Reg|A&0-0&20-R0-5-0&&&Reg|NULL|NULL|A&0-0&7-R0-13-0&&53&Reg|A&0-0&7-R0-5-0&&48&178Reg|A&0-0&7-R0-3-0&&54&172Reg|NULL|NULL||NULL|NULL|NULL|NULL|NULL|NULL|A&0-0&7-R0-13-0&&6&Reg|NULL|165|Primary Key|A&0-0&1-R0-6-0&&&Reg|WHHK
D&0&0|NCC_KTD|NULL|A&0-0&1-R0-10-0&136&&Reg|A&0-0&23-R0-6-0&&&Reg|NULL|NULL|A&0-0&7-R0-13-0&&53&Reg|A&0-0&7-R0-5-0&&48&172Reg|A&0-0&7-R0-5-0&&5&Reg|NULL|NULL|A&0-0&7-R0-13-0&&6&Reg|NULL|NULL|NULL|NULL|NULL|NULL|A&0-0&7-R0-13-0&&6&Reg|NULL|195|Secondary Key|A&0-0&1-R0-6-0&&&Reg|WHHK
D&0&0|NCC+KOA|NULL|A&0-0&1-R0-6-0&8&&Reg|A&0-0&20-R0-5-0&&&Reg|NULL|NULL|NULL|NULL|A&0-0&7-R0-5-0&&5&Reg|NULL|NULL|A&0-0&7-R0-5-0&&6&Reg|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|167|Secondary Key|A&0-0&1-R0-6-0&&&Reg|WHHK
D&T0&0Q|NDK_16M|NULL|A&0-1&7-R0-17-0&3&&Reg|A&3-3&0-R0-0-0&&&1Reg|NULL|NULL|NULL|NULL|A&2-2&0-R0-0-0&&5&Reg|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|170|Primary Key|NULL|WHHK
D&$0&0|SII|NULL|A&4-4&0-R0-0-0&&&Reg|A&2-2&0-R0-0-0&&&Reg|NULL|NULL|A&3-3&0-R0-0-0&&&Reg|NULL|A&5-5&0-R0-0-0&&48&175Reg|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|A&3-3&0-R0-0-0&&6&Reg|A&6-6&0-R0-0-0&&&Reg|173|Primary Key|NULL|WHHK
D&PN0&0RV|TE|NULL|A&1-1&0-R0-0-0&&&Reg|A&2-2&0-R0-0-0&&&139Reg|NULL|NULL|A&2-2&0-R0-0-0&&&145Reg|A&2-2&0-R0-0-0&&&145Reg|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|194|NULL|NULL|WHHK
