--------- beginning of kernel
--------- beginning of system
--------- beginning of main
12-09 20:04:17.014 10841 10841 I ScannerBroadcast: receiver registered for com.wclsolution.docpal.action.BARCODE_SCANNED
--------- beginning of kernel
--------- beginning of system
--------- beginning of main
--------- beginning of kernel
--------- beginning of system
--------- beginning of main
12-09 20:19:26.568 11445 11445 I ScannerBroadcast: receiver registered for com.wclsolution.docpal.action.BARCODE_SCANNED
12-09 20:19:57.441 11569 11569 I ScannerBroadcast: receiver registered for com.wclsolution.docpal.action.BARCODE_SCANNED
--------- beginning of system
--------- beginning of kernel
--------- beginning of main
12-09 20:19:26.568 11445 11445 I ScannerBroadcast: receiver registered for com.wclsolution.docpal.action.BARCODE_SCANNED
12-09 20:19:57.441 11569 11569 I ScannerBroadcast: receiver registered for com.wclsolution.docpal.action.BARCODE_SCANNED
--------- beginning of system
--------- beginning of kernel
--------- beginning of main
12-09 20:22:58.273 11827 11827 I ScannerBroadcast: scan broadcast without barcode extra, extras: ScanOverlayButton=false, com.ubx.datawedge.data_raw=[B@8f0d911, DecodeNum=57, symName=QRCode, barocode=[B@4d5ca76, com.ubx.datawedge.symbology_name=QRCode, decodeTime=121, length=19, codetype=QRCode, com.ubx.datawedge.aimcode=[B@ffb5877, barcode=[B@6031ce4, com.ubx.datawedge.barcode_id=31, symbologyId=31, com.ubx.datawedge.data_string=BOX-H-20260701-0007, barcode_string=BOX-H-20260701-0007, com.ubx.datawedge.data_dispatch_time=121, com.ubx.datawedge.symbology_id=31, com.ubx.datawedge.data_raw_length=19, barcodeType=31
12-09 20:22:58.548 11827 11827 I ScannerBroadcast: scan broadcast without barcode extra, extras: ScanOverlayButton=false, com.ubx.datawedge.data_raw=[B@acc1802, DecodeNum=58, symName=QRCode, barocode=[B@bc30513, com.ubx.datawedge.symbology_name=QRCode, decodeTime=78, length=19, codetype=QRCode, com.ubx.datawedge.aimcode=[B@d472350, barcode=[B@3ec9949, com.ubx.datawedge.barcode_id=31, symbologyId=31, com.ubx.datawedge.data_string=BOX-H-20260701-0007, barcode_string=BOX-H-20260701-0007, com.ubx.datawedge.data_dispatch_time=78, com.ubx.datawedge.symbology_id=31, com.ubx.datawedge.data_raw_length=19, barcodeType=31
12-09 20:22:58.554 11827 11827 I ScannerBroadcast: scan broadcast without barcode extra, extras: ScanOverlayButton=false, com.ubx.datawedge.data_raw=[B@64edf6f, DecodeNum=58, symName=QRCode, barocode=[B@683247c, com.ubx.datawedge.symbology_name=QRCode, decodeTime=78, length=19, codetype=QRCode, com.ubx.datawedge.aimcode=[B@edc8105, barcode=[B@210a55a, com.ubx.datawedge.barcode_id=31, symbologyId=31, com.ubx.datawedge.data_string=BOX-H-20260701-0007, barcode_string=BOX-H-20260701-0007, com.ubx.datawedge.data_dispatch_time=78, com.ubx.datawedge.symbology_id=31, com.ubx.datawedge.data_raw_length=19, barcodeType=31
12-09 20:22:58.893 11827 11827 I ScannerBroadcast: scan broadcast without barcode extra, extras: ScanOverlayButton=false, com.ubx.datawedge.data_raw=[B@71c0c68, DecodeNum=59, symName=QRCode, barocode=[B@3292881, com.ubx.datawedge.symbology_name=QRCode, decodeTime=46, length=19, codetype=QRCode, com.ubx.datawedge.aimcode=[B@7a3bd26, barcode=[B@5bd4d67, com.ubx.datawedge.barcode_id=31, symbologyId=31, com.ubx.datawedge.data_string=BOX-H-20260701-0005, barcode_string=BOX-H-20260701-0005, com.ubx.datawedge.data_dispatch_time=46, com.ubx.datawedge.symbology_id=31, com.ubx.datawedge.data_raw_length=19, barcodeType=31
12-09 20:22:58.896 11827 11827 I ScannerBroadcast: scan broadcast without barcode extra, extras: ScanOverlayButton=false, com.ubx.datawedge.data_raw=[B@83ecbbd, DecodeNum=59, symName=QRCode, barocode=[B@5fe85b2, com.ubx.datawedge.symbology_name=QRCode, decodeTime=46, length=19, codetype=QRCode, com.ubx.datawedge.aimcode=[B@3c75903, barcode=[B@4520080, com.ubx.datawedge.barcode_id=31, symbologyId=31, com.ubx.datawedge.data_string=BOX-H-20260701-0005, barcode_string=BOX-H-20260701-0005, com.ubx.datawedge.data_dispatch_time=46, com.ubx.datawedge.symbology_id=31, com.ubx.datawedge.data_raw_length=19, barcodeType=31
12-09 20:22:59.277 11827 11827 I ScannerBroadcast: scan broadcast without barcode extra, extras: ScanOverlayButton=false, com.ubx.datawedge.data_raw=[B@ecb4afe, DecodeNum=60, symName=QRCode, barocode=[B@bdc825f, com.ubx.datawedge.symbology_name=QRCode, decodeTime=60, length=19, codetype=QRCode, com.ubx.datawedge.aimcode=[B@116a4ac, barcode=[B@5d8b575, com.ubx.datawedge.barcode_id=31, symbologyId=31, com.ubx.datawedge.data_string=BOX-H-20260701-0005, barcode_string=BOX-H-20260701-0005, com.ubx.datawedge.data_dispatch_time=60, com.ubx.datawedge.symbology_id=31, com.ubx.datawedge.data_raw_length=19, barcodeType=31
12-09 20:22:59.281 11827 11827 I ScannerBroadcast: scan broadcast without barcode extra, extras: ScanOverlayButton=false, com.ubx.datawedge.data_raw=[B@4f0e57b, DecodeNum=60, symName=QRCode, barocode=[B@89f5f98, com.ubx.datawedge.symbology_name=QRCode, decodeTime=60, length=19, codetype=QRCode, com.ubx.datawedge.aimcode=[B@28c33f1, barcode=[B@aebbbd6, com.ubx.datawedge.barcode_id=31, symbologyId=31, com.ubx.datawedge.data_string=BOX-H-20260701-0005, barcode_string=BOX-H-20260701-0005, com.ubx.datawedge.data_dispatch_time=60, com.ubx.datawedge.symbology_id=31, com.ubx.datawedge.data_raw_length=19, barcodeType=31
12-09 20:22:59.568 11827 11827 I ScannerBroadcast: scan broadcast without barcode extra, extras: ScanOverlayButton=false, com.ubx.datawedge.data_raw=[B@6f6dd44, DecodeNum=61, symName=QRCode, barocode=[B@51f1e2d, com.ubx.datawedge.symbology_name=QRCode, decodeTime=62, length=19, codetype=QRCode, com.ubx.datawedge.aimcode=[B@d3fbf62, barcode=[B@84088f3, com.ubx.datawedge.barcode_id=31, symbologyId=31, com.ubx.datawedge.data_string=BOX-H-20260701-0005, barcode_string=BOX-H-20260701-0005, com.ubx.datawedge.data_dispatch_time=62, com.ubx.datawedge.symbology_id=31, com.ubx.datawedge.data_raw_length=19, barcodeType=31
12-09 20:22:59.571 11827 11827 I ScannerBroadcast: scan broadcast without barcode extra, extras: ScanOverlayButton=false, com.ubx.datawedge.data_raw=[B@87c7029, DecodeNum=61, symName=QRCode, barocode=[B@fde6fae, com.ubx.datawedge.symbology_name=QRCode, decodeTime=62, length=19, codetype=QRCode, com.ubx.datawedge.aimcode=[B@650c14f, barcode=[B@d6290dc, com.ubx.datawedge.barcode_id=31, symbologyId=31, com.ubx.datawedge.data_string=BOX-H-20260701-0005, barcode_string=BOX-H-20260701-0005, com.ubx.datawedge.data_dispatch_time=62, com.ubx.datawedge.symbology_id=31, com.ubx.datawedge.data_raw_length=19, barcodeType=31
12-09 20:22:59.831 11827 11827 I ScannerBroadcast: scan broadcast without barcode extra, extras: ScanOverlayButton=false, com.ubx.datawedge.data_raw=[B@fa5d8ba, DecodeNum=62, symName=QRCode, barocode=[B@b82236b, com.ubx.datawedge.symbology_name=QRCode, decodeTime=47, length=19, codetype=QRCode, com.ubx.datawedge.aimcode=[B@cf5dec8, barcode=[B@540fb61, com.ubx.datawedge.barcode_id=31, symbologyId=31, com.ubx.datawedge.data_string=BOX-H-20260701-0005, barcode_string=BOX-H-20260701-0005, com.ubx.datawedge.data_dispatch_time=47, com.ubx.datawedge.symbology_id=31, com.ubx.datawedge.data_raw_length=19, barcodeType=31
